zone,qualified_hitters,mean,median,std,min,max,p10,p25,p50,p75,p90
1,154,5.0899,4.88,2.1125,0.8929,10.177,2.4649,3.6909,4.88,6.5431,7.9864
2,154,7.7471,7.5131,2.1674,3.3333,13.3333,5.0226,6.3587,7.5131,9.0362,10.821
3,154,5.248,5.1635,1.72,1.2658,10.3448,3.3004,3.8746,5.1635,6.3112,7.4777
4,154,9.8704,9.8638,2.6059,3.4483,17.9191,6.5976,8.1072,9.8638,11.4637,12.9199
5,154,14.7277,14.4892,3.0861,7.1713,28.3133,11.2599,12.6374,14.4892,16.6667,18.9425
6,154,10.0027,9.8845,2.5381,4.3307,17.5824,6.718,8.2603,9.8845,11.8521,13.2184
7,154,6.8784,6.4025,2.8785,1.4423,15.625,3.5897,4.6416,6.4025,8.5325,10.6965
8,154,11.5446,11.241,2.7842,5.5319,19.1489,8.4131,9.5722,11.241,13.2404,15.5244
9,154,7.2948,6.9849,2.8192,2.381,14.2045,3.5532,5.2425,6.9849,8.9689,11.663
11,154,4.4725,3.9508,2.7998,0.0,17.3228,1.3517,2.2793,3.9508,6.2144,8.3621
12,154,4.2144,4.0854,1.886,1.0989,13.834,2.0267,2.8511,4.0854,5.148,6.5081
13,154,6.3057,5.9536,3.6421,0.8696,15.8301,2.1921,3.2052,5.9536,8.4768,11.2766
14,154,6.6039,6.235,4.1059,0.0,24.8963,2.2806,3.3771,6.235,8.8331,11.4574
