zone,qualified_pitchers,mean,median,std,min,max,p10,p25,p50,p75,p90
1,66,19.5217,18.3014,8.7944,4.7619,50.0,10.3571,13.8064,18.3014,22.8632,30.1994
2,66,23.0469,22.8758,6.414,8.8235,39.1304,15.301,18.75,22.8758,25.7143,30.3571
3,66,20.0292,19.7222,7.6616,4.3478,36.3636,10.4356,14.7059,19.7222,25.0,30.615
4,67,28.2042,27.5,8.8604,11.5385,50.0,16.6667,20.6389,27.5,34.9419,37.7381
5,67,32.7079,32.3944,6.082,15.0943,45.5882,25.4759,28.7088,32.3944,36.3467,40.5093
6,67,27.3078,26.3158,6.8406,10.7143,50.0,19.3987,23.6842,26.3158,30.7323,35.5556
7,67,29.2223,28.125,10.0543,6.6667,55.0,17.2549,22.967,28.125,35.2146,41.3725
8,67,35.6218,35.4167,7.4043,21.1538,52.381,25.0,30.4563,35.4167,40.2128,45.6794
9,67,26.8276,26.8293,8.3615,4.5455,48.1481,15.0292,22.7403,26.8293,31.25,37.6724
11,61,12.2836,11.7647,5.8097,3.2258,33.3333,4.7619,8.6957,11.7647,14.2857,19.0476
12,58,12.4747,11.7647,6.2317,3.8462,31.5789,5.0897,6.9581,11.7647,16.6667,20.25
13,63,17.2206,14.8148,9.1612,3.0303,51.8519,7.7538,10.6979,14.8148,22.2527,29.0467
14,67,17.2557,15.4762,7.6846,3.5714,40.0,8.5714,11.6342,15.4762,21.9131,27.265
