zone,qualified_hitters,mean,median,std,min,max,p10,p25,p50,p75,p90
1,154,5.081,0.0,7.5697,0.0,33.3333,0.0,0.0,0.0,9.0909,16.4035
2,154,12.5537,11.4379,11.3195,0.0,50.0,0.0,0.0,11.4379,20.0,28.5714
3,154,5.5799,0.0,8.4324,0.0,50.0,0.0,0.0,0.0,9.7727,15.3383
4,154,10.4396,7.6923,12.1445,0.0,66.6667,0.0,0.0,7.6923,16.6667,26.5909
5,154,20.7431,21.8254,13.4867,0.0,66.6667,0.0,11.2745,21.8254,29.2017,35.7143
6,154,12.0796,10.8824,13.9507,0.0,100.0,0.0,0.0,10.8824,17.402,28.1818
7,154,4.909,0.0,7.7784,0.0,50.0,0.0,0.0,0.0,8.3333,13.75
8,154,11.8285,11.1111,11.4899,0.0,66.6667,0.0,0.0,11.1111,16.6667,27.7203
9,154,5.7744,0.0,7.8927,0.0,33.3333,0.0,0.0,0.0,10.0,18.125
11,154,2.9176,0.0,6.0067,0.0,33.3333,0.0,0.0,0.0,0.0,12.5
12,154,2.363,0.0,4.978,0.0,30.0,0.0,0.0,0.0,0.0,9.0909
13,154,1.8373,0.0,4.4268,0.0,21.0526,0.0,0.0,0.0,0.0,9.5
14,154,2.5946,0.0,6.3904,0.0,33.3333,0.0,0.0,0.0,0.0,10.0
