zone,qualified_hitters,mean,median,std,min,max,p10,p25,p50,p75,p90
1,154,5.5204,5.4533,1.7875,1.0989,10.8911,3.3304,4.1863,5.4533,6.6906,7.9418
2,154,6.0979,6.0434,1.6064,2.0833,10.4167,4.299,4.9531,6.0434,7.0926,8.0033
3,154,4.7019,4.6616,1.6501,1.2048,8.982,2.7811,3.5284,4.6616,5.7516,6.8556
4,154,6.0604,6.0504,1.9266,1.1236,12.5,3.5791,4.8415,6.0504,7.4074,8.3821
5,154,6.8022,6.7559,1.5241,2.7174,11.6959,4.9826,5.8334,6.7559,7.7235,8.9606
6,154,6.0997,5.7107,1.9501,1.2048,12.3596,3.9327,4.8465,5.7107,7.5733,8.6678
7,154,5.5673,5.5822,1.713,1.3274,10.989,3.586,4.3186,5.5822,6.5892,7.8262
8,154,6.6721,6.7204,1.7558,2.1505,13.0,4.4873,5.3792,6.7204,7.725,8.8995
9,154,6.1279,6.1219,1.9968,1.1905,11.7978,3.8908,4.7671,6.1219,7.2933,8.5809
11,154,10.3376,10.2345,2.467,4.7619,18.1818,7.1736,8.4397,10.2345,11.9565,13.3118
12,154,8.8234,8.6611,2.1951,3.4722,14.1593,6.0289,7.1786,8.6611,10.101,12.0098
13,154,12.0321,11.7051,3.3459,2.963,21.5278,7.9456,9.4766,11.7051,14.6711,16.0085
14,154,15.1571,14.8896,3.567,6.25,23.0769,10.6387,12.7056,14.8896,17.8867,20.1176
