zone,qualified_pitchers,mean,median,std,min,max,p10,p25,p50,p75,p90
1,64,22.0478,18.6147,10.2709,7.6923,53.3333,11.3072,14.9537,18.6147,27.2727,35.2059
2,65,17.1839,16.6667,8.4082,3.2258,38.4615,6.4167,11.1111,16.6667,23.5294,30.6355
3,63,25.4574,23.8095,11.9715,6.6667,62.5,11.3889,17.029,23.8095,31.8841,40.5051
4,64,14.8162,14.2495,8.3905,2.5641,40.0,5.4505,9.1826,14.2495,18.4751,26.1667
5,64,9.6147,9.5238,5.0895,2.0,23.2558,2.3804,5.5556,9.5238,12.5665,15.7517
6,67,15.0733,14.2857,7.8836,2.7027,34.0909,5.5807,8.4524,14.2857,21.5251,25.9903
7,67,22.8469,21.7391,11.0729,5.0,50.0,9.0769,13.7949,21.7391,29.9007,36.4848
8,65,16.1842,16.6667,8.268,3.125,41.6667,5.0513,11.1111,16.6667,20.0,27.1667
9,67,24.6464,25.0,10.5747,5.8824,46.1538,9.8095,16.6667,25.0,31.456,39.0476
11,66,25.2627,23.3333,11.439,4.1667,57.7778,13.2456,15.6661,23.3333,32.5,39.2622
12,66,26.5754,26.4912,11.3111,5.8824,62.5,14.2495,18.75,26.4912,33.3333,40.0
13,66,34.2651,32.2005,12.4823,13.7931,67.6923,18.8988,26.3695,32.2005,42.1081,51.4435
14,67,40.4974,40.4255,12.501,12.7273,63.6364,25.6611,32.1429,40.4255,48.4898,58.6724
