zone,qualified_hitters,mean,median,std,min,max,p10,p25,p50,p75,p90
1,155,4.2779,4.2766,0.8585,2.3156,6.3683,3.2191,3.6573,4.2766,4.7574,5.4308
2,155,5.3092,5.2273,0.7895,2.9331,7.4167,4.3566,4.8401,5.2273,5.8271,6.3184
3,155,3.7112,3.6199,0.8559,1.9459,6.9728,2.7693,3.0647,3.6199,4.3081,4.8313
4,155,5.5823,5.5857,1.0416,2.7051,8.0765,4.0968,4.8049,5.5857,6.3809,6.8527
5,155,7.0652,7.0452,0.7984,5.2348,9.7222,6.1174,6.5728,7.0452,7.4926,8.137
6,155,5.5636,5.386,1.1518,3.0833,8.9397,4.2316,4.6964,5.386,6.4861,7.1311
7,155,4.587,4.5216,1.1427,2.0354,7.088,3.2258,3.7086,4.5216,5.3658,6.0494
8,155,6.173,6.1793,0.9133,3.9297,8.7032,5.0273,5.4896,6.1793,6.7521,7.3451
9,155,5.053,4.932,1.1568,2.4096,8.486,3.7236,4.1722,4.932,5.7976,6.6218
11,155,12.1429,11.5668,2.8654,5.8115,19.1468,8.9362,10.1263,11.5668,13.9138,16.4478
12,155,9.0247,8.9844,2.0795,4.7994,17.202,6.4965,7.4746,8.9844,10.4036,11.817
13,155,13.3472,13.2457,4.0073,5.7102,22.1877,8.0482,9.9086,13.2457,16.4486,19.1395
14,155,18.163,16.5523,4.8096,9.8107,31.2178,12.5778,13.9069,16.5523,22.1806,24.64
