zone,qualified_pitchers,mean,median,std,min,max,p10,p25,p50,p75,p90
1,67,4.3524,4.4476,1.1735,1.4769,7.4122,2.7538,3.5306,4.4476,5.0763,5.931
2,67,5.4004,5.5705,1.374,2.4,9.3628,3.6487,4.427,5.5705,6.3408,6.9448
3,67,3.881,3.8256,1.1234,1.433,6.326,2.2681,3.3112,3.8256,4.4438,5.4315
4,67,5.4559,5.3143,1.0073,3.7437,8.1103,4.2914,4.6238,5.3143,6.0069,6.8552
5,67,7.0604,6.9498,0.8996,4.9742,8.8687,5.9703,6.3671,6.9498,7.6452,8.4504
6,67,5.7615,5.969,1.0045,3.4204,8.26,4.2856,5.204,5.969,6.4531,6.9619
7,67,4.6162,4.4459,1.3685,2.0156,7.4779,2.9946,3.7012,4.4459,5.3498,6.547
8,67,6.1977,6.2049,1.1522,3.446,9.6168,4.7946,5.368,6.2049,6.9344,7.5073
9,67,5.3391,5.4054,1.09,2.5953,8.4278,3.9254,4.7617,5.4054,6.1578,6.6239
11,67,11.4297,11.86,4.2366,1.4769,22.5618,5.8702,8.4345,11.86,14.0365,15.8285
12,67,8.9228,8.2687,3.7056,2.1807,17.2346,4.5302,6.0565,8.2687,11.3365,14.4898
13,67,13.2056,13.1881,6.2303,2.9113,27.108,5.6018,7.4051,13.1881,18.0268,20.9819
14,67,18.1922,18.7101,5.359,5.4339,29.7843,10.3317,14.5713,18.7101,21.4357,25.6209
