zone,qualified_pitchers,mean,median,std,min,max,p10,p25,p50,p75,p90
1,64,25.8417,25.0,11.7644,8.6957,60.0,11.5278,16.6667,25.0,32.0175,41.25
2,65,21.6959,20.6897,11.2237,4.5455,66.6667,7.5214,14.2857,20.6897,26.8293,36.7857
3,63,29.3265,27.2727,13.2272,5.8824,62.5,14.2857,20.0,27.2727,38.4615,44.3056
4,64,23.0457,22.0779,11.5045,5.2632,57.1429,8.3333,14.6825,22.0779,28.836,36.6986
5,64,16.2236,16.954,7.815,3.7037,33.3333,5.8824,10.5263,16.954,20.4348,26.917
6,67,23.0772,21.4286,10.884,4.1667,50.0,9.0769,15.587,21.4286,31.5789,36.8182
7,67,29.9998,31.5789,11.4613,5.5556,54.5455,15.2308,20.547,31.5789,38.4615,43.1056
8,65,23.7404,21.875,11.245,4.3478,55.5556,8.4364,16.6667,21.875,31.25,35.9358
9,67,30.6141,31.5789,11.3946,6.6667,53.8462,14.2857,22.4014,31.5789,39.4444,44.4318
11,66,13.2215,12.5,5.9149,2.0,28.2609,6.3946,8.7495,12.5,16.5909,20.9834
12,66,13.2493,12.7016,5.662,3.8462,29.0323,7.1983,9.4122,12.7016,16.361,20.0941
13,66,18.8043,18.75,5.8309,7.4468,34.6154,11.3248,14.5022,18.75,23.3333,25.2633
14,67,19.3389,19.6078,6.3882,8.0645,31.6547,9.8365,14.5886,19.6078,23.4736,28.3697
