zone,qualified_pitchers,mean,median,std,min,max,p10,p25,p50,p75,p90
1,67,16.7771,16.2791,7.7128,4.5455,37.037,7.8138,9.6006,16.2791,21.8071,26.4286
2,66,16.6466,17.1053,7.7102,2.439,41.8605,6.331,10.1596,17.1053,20.8447,26.1031
3,66,17.3911,17.1921,6.9341,4.3478,38.8889,8.2955,13.9163,17.1921,21.3043,26.4286
4,66,10.1795,9.902,4.9559,2.0833,28.3333,4.3961,6.7442,9.902,12.7435,15.2477
5,67,9.0004,8.2192,3.7633,1.7857,17.1429,4.9489,6.2258,8.2192,11.0938,14.7183
6,67,10.3132,10.0,4.3287,1.6949,22.4138,4.6369,7.3171,10.0,13.962,15.3064
7,66,16.0718,15.3846,7.4212,3.2258,45.4545,8.1667,11.2403,15.3846,19.391,24.1279
8,67,13.1269,12.5,5.9816,3.8462,33.8983,6.623,8.5859,12.5,16.1002,21.1052
9,67,18.0327,16.6667,7.3629,2.1277,34.0,9.1185,14.1196,16.6667,22.4745,29.2603
11,66,26.1154,25.9006,9.1683,7.6923,56.25,14.1604,20.9396,25.9006,30.6856,35.5731
12,67,26.7011,27.7778,8.1751,9.0909,47.619,15.0476,21.3025,27.7778,31.7143,37.0588
13,67,41.2268,40.9091,12.8714,18.4211,72.973,26.6848,31.1422,40.9091,47.9637,59.5951
14,67,49.4049,50.5155,10.6868,20.0,71.1538,34.3723,42.3205,50.5155,56.8421,61.7538
