zone,qualified_pitchers,mean,median,std,min,max,p10,p25,p50,p75,p90
1,67,0.2735,0.2503,0.0991,0.0648,0.5738,0.1711,0.2161,0.2503,0.3195,0.4023
2,67,0.3224,0.3202,0.0911,0.1102,0.5719,0.2204,0.2552,0.3202,0.3819,0.4329
3,67,0.2659,0.2504,0.0776,0.113,0.4589,0.1667,0.2142,0.2504,0.329,0.3683
4,67,0.3316,0.3295,0.0783,0.1828,0.5121,0.2329,0.2749,0.3295,0.3947,0.4367
5,67,0.3904,0.386,0.0704,0.259,0.5635,0.3024,0.3421,0.386,0.4366,0.4915
6,67,0.3184,0.3144,0.071,0.1718,0.49,0.2434,0.2713,0.3144,0.3627,0.4149
7,67,0.2871,0.2804,0.08,0.0982,0.4737,0.1959,0.2322,0.2804,0.3422,0.3861
8,67,0.3615,0.3599,0.0768,0.2093,0.5692,0.2619,0.31,0.3599,0.4218,0.4515
9,67,0.2784,0.2739,0.0741,0.1594,0.5378,0.1918,0.2152,0.2739,0.3279,0.3646
11,67,0.3418,0.3509,0.0976,0.0245,0.5519,0.2201,0.2814,0.3509,0.4038,0.4681
12,66,0.3057,0.3254,0.096,0.0678,0.5659,0.1768,0.2411,0.3254,0.3551,0.4262
13,67,0.2689,0.261,0.0797,0.0585,0.5028,0.176,0.2189,0.261,0.3158,0.355
14,67,0.2545,0.2533,0.0611,0.1377,0.3955,0.1751,0.2115,0.2533,0.2912,0.3305
